id,name,type,sector
ECG,Ernesto Che Guevara,Person,Medizin
FC,Fidel Castro,Person,Poltik
FB,Fulgencio Batista,Person,Politik
CP,Carlos Prio,Person,Politik
HG,Hilda Gadea,Person,Politik
NL,Nico Lopez,Person,Politik
JA,Jacobo Arbenz,Person,Politik
AB,Alberto Bayo,Person,Militär
B26J,Bewegung des 26. Juli,Organisation,Widerstand
GDC,Generacion del Centenario,Organisation,Widerstand
JRCV,Julio Roberto Caceres Valle,Person,Medien
KR,Kubanische Regierung,Organisation,Politik
GUA,Guatemala,Land,NA
MEX,Mexiko,Land,NA
GUAK,Guatemalekische Kommunisten,Organisation,Widerstand
