from,to,relation,year 
FB,FC,4,NA
FC,B26J,2,1953
FB,CP,4,NA
ECG,HG,3,1954
HG,ANL,5,NA
ECG,ANL,5,1954
JRCV,ECG,5,1954
FC,ECG,5,1955
ECG,B26J,1,1955
AB,B26J,1,1955
CP,B26J,1,1955
FC,CP,1,NA
FB,KR,2,NA
CP,KR,4,1952
FC,GDC,2,NA
ECG,GUA,6,1953
HG,GUA,6,NA
JA,GUA,2,1950
ECG,MEX,6,1954
JRCV,MEX,6,1954
GUAK,HG,1,NA
GUAK,ANL,1,NA
GUAK,JRCV,1,NA
GUAK,GUA,6,NA
HL,B26J,1,1956
HL,ECG,5,1956
HL,KUB,6,1956
AL,KUB,6,1956
FC,KUB,6,1956
ECG,KUB,6,1956
FP,B26J,1,1956
FP,KUB,6,1956
AR,B26J,1,1956
AR,KUB,6,1956
FP,ECG,5,1956
AR,ECG,5,1956
CC,B26J,1,1956
CC,KUB,6,1956
CC,ECG,5,1956
RS,B26J,1,1956
RS,KUB,6,1956
RS,ECG,5,1956
RS,FP,5,1956
AL,B26J,1,1956
AL,ECG,5,1956
RV,B26J,1,1956
RV,KUB,6,1956
RV,ECG,5,1956
CH,B26J,1,1956
CH,KUB,6,1956
CH,ECG,5,1956
BE,B26J,1,1956
BE,KUB,6,1956
BE,ECG,5,1956
ME,EGR,1,1956
EGR,B26J,1,1956
ME,KUB,6,1956
EGR,KUB,6,1956
CO,KR,1,1956
C,B26J,1,1956
CO,KUB,6,1956
C,KUB,6,1956
JD,KUB,6,1956
CM,KUB,6,1956
PF,KUB,6,1956
JD,B26J,1,1956
CM,B26J,1,1956
PF,B26J,1,1956
RC,KUB,6,1956
RC,B26J,1,1956
LC,KUB,6,1956
LC,B26J,1,1956
US,KUB,6,1956
US,B26J,1,1956
CR,EGR,1,1956
EAJ,B26J,1,1956
EAJ,KUB,6,1956
SM,KR,1,1956
SM,KUB,6,1956
MF,B26J,1,1956
MF,KUB,6,1956
MF,ECG,5,1956
M,B26J,1,1956
M,KUB,6,1956
M,FC,5,1956
GG,B26J,1,1956
GG,KUB,6,1956
GG,ECG,5,1956
SA,B26J,1,1956
SA,KUB,6,1956
SA,ECG,5,1956
GG,SA,5,1956
CR,KR,1,1956
CR,KUB,6,1956
CG,B26J,1,1956
CG,KUB,6,1956
MA,B26J,1,1956
MA,KUB,6,1956
CA,KUB,6,1956
CA,EGR,5,1956
EGR,KR,1,1956
CA,KR,1,1956
CR,ECG,5,1956
CR,ECG,1,1956
JZA,ECG,5,1956
JZA,B26J,1,1956
JZA,CR,5,1956
M,ECG,5,1956
IP,B26J,1,1956
C,IP,7,NA
C,B26J,1,1956
C,ECG,5,1956
CF,B26J,1,1956
CF,ECG,5,1956
EGR,FC,5,1956
EGR,B26J,1,1956
EGR,ECG,5,1956
EGR,KR,1,1957
CF,LC,5,1957
ECG,KUB,6,1957
FC,KUB,6,1957
EGR,KUB,6,1957
CF,KUB,6,1957
LC,KUB,6,1957
EL,KUB,6,1957
EL,B26J,1,1957
CiR,KUB,6,1957
CiR,B26J,1,1957
JZA,ECG,5,1957
JZA,B26J,1,1957
JZA,KUB,6,1956
JZA,KUB,6,1957
AL,ECG,5,1957
AL,KUB,6,1957
AL,B26J,1,1957
JD,ECG,5,1957
JD,KUB,6,1957
JD,B26J,1,1957
US,ECG,5,1957
US,KUB,6,1957
US,B26J,1,1957
CC,ECG,5,1957
CC,KUB,6,1957
