id,name,type,sector
ECG,Ernesto Che Guevara,Person,Medizin
FB,Fulgencio Batista,Person,Politik
HG,Hilda Gadea,Person,Politik
AB,Alberto Bayo,Person,Militaer
B26J,Bewegung des 26. Juli,Organisation,Widerstand
JRCV,Julio Roberto Caceres Valle,Person,Medien
KR,Kubanische Regierung,Organisation,Politik
GUA,Guatemala,Land,Land
MEX,Mexiko,Land,Land
GUAK,Guatemalekische Kommunisten,Organisation,Widerstand
ABA,Abel Santamaria,Person,Widerstand
ABS,Alberto Granado,Person,Wissenschaft
AEB,Andres Eloy Blanco,Person,Politik
AH,Armando Hart,Person,Widerstand
AL,Almeida,Person,Militaer
AM,Aleida March,Person,Widerstand
ANL,Antonio Nico Lopez,Person,Politik
AR,Armando Rodriguez,Person,Widerstand
BE,Bentinez,Person,Widerstand
C,Crescencio,Person,Widerstand
CA,Casillas,Person,Militaer
CAT,Carlos Arturo Torres,Person,Politik
CB,Ciro Bustos,Person,Medien
CC,Camilo Cienfuegos,Person,Widerstand
CCF,Carlos Calica Ferrer,Person,Widerstand
CF,Ciro Frias,Person,Widerstand
CFRA,Chichina Ferreyra,Person,Widerstand
CFR,Carlos Franqui,Person,Widerstand
CG,Calixto Garcia,Person,Widerstand
CH,Chang,Person,Widerstand
CIR,Ciro Redondo,Person,Widerstand
CM,Calixto Morales,Person,Widerstand
CO,Chicho Osorio,Person,Militaer
CP,Carlos Prio,Person,Politik
CR,Cesar Rodriguez,Person,Widerstand
CS,Celia Sanchez,Person,Widerstand
DA,Don Astolfo,Person,Landwirtschaft
DHP,Dr. Hugo Pesce,Person,Medizin
DLG,Dr. Lucio Garcia,Person,Medizin
DR,Don Ramon,Person,Landwirtschaft
DT,Díaz Tamayo,Person,Widerstand
E,Emiliano,Person,Landwirtschaft
ED,Epifanio Diaz,Person,Widerstand
EL,Emilio Labrada,Person,Landwirtschaft
EAJ,Efigenio Ameijeiras,Person,Militaer
ECOI,El Camionero,Person,Land
ECO,El Comandante,Person,Militaer
EGR,Eutimio Guerra,Person,Landwirtschaft
EGC,Enrique Gomez Carrillo,Person,Medien
EGDO,El Gordo,Person,Widerstand
EGDR,Eduardo García del Real,Person,Medien
EGO,El Gaucho,Person,Widerstand
EM,El Maestro,Person,Widerstand
EMY,El Mayor,Person,Widerstand
EOL,Enrique Oltuski,Person,Widerstand
FAP,Faustino Pérez,Person,Widerstand
FC,Fidel Castro,Person,Poltik
FCL,Francisco Chico Lopez,Person,Widerstand
FP,Faustino Perez,Person,Medizin
FPI,Frank Pais,Person,Widerstand
G,Gil,Person,Widerstand
GDC,Generacion del Centenario,Organisation,Widerstand
GG,Guillermo Garcia Frias,Person,Landwirtschaft
GMI,Gustavo Machín,Person,Widerstand
HGA,Hector Garcia,Person,Widerstand
HL,Humberto Lamotte,Person,Widerstand
HM,Herbert Matthews,Person,Medien
HMA,Huber Matos,Person,Widerstand
HS,Haydee Santamaria,Person,Widerstand
IP,Ignacio Perez,Person,Widerstand
IRZ,Israel Reyes Zayas,Person,Widerstand
JA,Jacobo Arbenz,Person,Politik
JAB,Juan Almeida Bosque,Person,Widerstand
JD,Julito Diaz,Person,Widerstand
JP,Javier Pazos,Person,Medien
JRM,Jorge Ricardo Masetti,Person,Medien
JRMV,Jose Ramon Machado Ventura,Person,Politik
JS,Jorge Sotus,Person,Widerstand
JZA,Julio Zenon Acosta,Person,Landwirtschaft
KUB,Kuba,Land,Land
LC,Luis Crespo,Person,Widerstand
LORO,Luis Orlando Rodríguez,Person,Widerstand
M,Moran,Person,Widerstand
MA,Manuel Acuna,Person,Widerstand
MAP,Manuel Pineiro,Person,Widerstand
ME,Melquiades Elias,Person,Landwirtschaft
MF,Manuel Fajardo,Person,Widerstand
MH,Melba Hernandez,Person,Widerstand
MO,Motola,Person,Widerstand
OA,Oscar Alfaro,Person,Widerstand
OFM,Oscar Fernandez Mell,Person,Widerstand
OFU,Orlando Fundora,Person,Widerstand
P,Pesant,Person,Widerstand
PF,Piti Fajardo,Person,Medizin
PN,Pablo Neruda,Person,Politik
RC,Raul Castro,Person,Widerstand
RD,Raul Diaz,Person,Widerstand
RM,Rolando Masferrer,Person,Militaer
RR,Ricardo Rojo,Person,Militaer
RRL,Rene Ramos Latour,Person,Militaer
RS,Raul Suarez,Person,Widerstand
RV,Ramiro Valdes,Person,Militaer
S,Sotolongo,Person,Widerstand
SA,Sergio Acuna,Person,Widerstand
SD,Silvia Durand,Person,Widerstand
SM,Sanchez Mosquera,Person,Militaer
T,Theodoro Reich,Person,Medizin
TA,Tamara Bunke,Person,Widerstand
TI,Tita Infante,Person,Widerstand
US,Universo Sanchez,Person,Militaer
VC,Victorio Codovilla,Person,Medien
VE,Vilma Espin,Person,Widerstand
VV,Vittorio Vidali,Person,Militaer
WA,William Alexander Morgan,Person,Widerstand
Y,Yayo,Person,Widerstand
BOV,Bolivien,Land,Land
CHI,Chile,Land,Land
